name,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,founded_year,reporting_year,source_url
Sparkasse Niederosterreich Mitte West,3556,100,,,450,33,1854,2023,https://www.sparkasse.at/noe/wir-ueber-uns
Sparkasse Reutte,513,,,,,6,1918,2023,https://thebanks.eu/banks/10552
Sparkasse Salzkammergut,749,,,,,9,1863,2023,https://thebanks.eu/banks/10554
Sparkasse Schwaz,1871,40,,,,14,1872,2023,https://thebanks.eu/banks/10556
Sparkasse der Stadt Amstetten,624,20,,,65,6,1874,2023,https://thebanks.eu/banks/10559
Sparkasse der Stadt Feldkirch,1900,53,,,240,15,,2023,https://www.sparkasse.at/feldkirch/wir-ueber-uns
Sparkasse der Stadt Kitzbuhel,1182,,,,150,9,1899,2023,https://thebanks.eu/banks/10051
Steiermarkische Sparkasse,21300,980,,,2946,233,1825,2023,https://www.sparkasse.at/steiermaerkische/presse/presseaussendungen/2024/04/09/jahresergebnis-2023
Tiroler Sparkasse,4501,150,3560,,496,26,1822,2023,https://www.sparkasse.at/tirolersparkasse/presseaussendungen/2024/04/25/bilanzergebnis-2023
Waldviertler Sparkasse von 1842,2022,69,,,297,30,1842,2023,https://www.meinbezirk.at/zwettl/c-regionauten-community/die-waldviertler-sparkasse-ist-sehr-kapitalstark-geworden_a6092877
Wiener Neustadter Sparkasse,1702,63,,1206,222,11,1860,2023,https://www.sparkasse.at/wrneustadt/presse/2024/06/21/Bilanz
Caisse d'Epargne Aquitaine Poitou-Charentes,33854,1300,,,2629,344,1819,2023,https://thebanks.eu/banks/13956
Caisse d'Epargne Auvergne et Limousin,17766,,16800,12600,,142,1827,2024,https://www.lecourrierdesentreprises.fr/performances-et-engagements-pour-la-caisse-depargne-auvergne-limousin-en-2024/
Caisse d'Epargne Bourgogne Franche-Comte,20900,785,,,1625,169,1835,2023,https://thebanks.eu/banks/13967
Caisse d'Epargne Bretagne Pays de Loire,37823,,44100,29500,2800,,1818,2023,https://thebanks.eu/banks/13961
Caisse d'Epargne CEPAC,42800,1500,,,3500,280,1821,2023,https://thebanks.eu/banks/13966
Caisse d'Epargne Cote d'Azur,23302,641,17700,17300,1600,117,1835,2023,https://thebanks.eu/banks/13721
Caisse d'Epargne Grand Est Europe,33255,1330,,24900,2700,,1822,2024,https://thebanks.eu/banks/13958
Caisse d'Epargne Hauts de France,41460,1100,47000,,3000,300,1834,2024,https://thebanks.eu/banks/13957
Caisse d'Epargne Ile-de-France,95282,3000,,33600,4878,455,1818,2023,https://thebanks.eu/banks/13962
Caisse d'Epargne Languedoc Roussillon,,1100,,,1350,,1835,2023,https://www.groupebpce.com/en/directory/caisse-depargne-languedoc-roussillon/
Caisse d'Epargne Loire Centre,20051,1200,,,1868,197,2007,2023,https://thebanks.eu/banks/13963
Caisse d'Epargne Loire Drome Ardeche,,,,,1119,143,2007,2023,https://www.groupebpce.com/en/directory/caisse-depargne-loire-drome-ardeche/
Caisse d'Epargne Midi-Pyrenees,26566,900,,,2000,170,1835,2023,https://thebanks.eu/banks/13960
Caisse d'Epargne Normandie,25924,1000,,,1770,200,1834,2023,https://infonet.fr/actualite/analyses-financieres/caisse-epargne-normandie-2023/
Caisse d'Epargne Rhone Alpes,43693,1400,,,3000,280,1822,2023,https://thebanks.eu/banks/13723
Aito Saastopankki,1400,,,,,15,2010,2024,https://thebanks.eu/banks/13498
Avain Saastopankki,340,,,,,9,,2023,https://thebanks.eu/banks/13547
Helmi Saastopankki,503,,,,,,,2024,https://thebanks.eu/banks/13531
Lammin Saastopankki,595,,,,75,6,1877,2023,https://thebanks.eu/banks/13557
Lansi-Uudenmaan Saastopankki,757,,,,72,5,,2022,https://thebanks.eu/banks/13409
Myrskyla Saastopankki,317,,,,,4,,2024,https://thebanks.eu/banks/13420
Nooa Saastopankki,792,,,,80,6,2003,2024,https://thebanks.eu/banks/13576
Saastopankki Optia,1984,,,,137,17,1883,2024,https://thebanks.eu/banks/13468
Saastopankki Sinetti,285,,,,35,5,1977,2023,https://thebanks.eu/banks/13338
Someron Saastopankki,961,,,,,,1880,2024,https://thebanks.eu/banks/13619
Arbejdernes Landsbank,11570,250,10791,7078,1075,70,1919,2024,https://thebanks.eu/banks/12838
Danske Andelskassers Bank,2323,,,,,30,1969,2024,https://thebanks.eu/banks/12861
Middelfart Sparekasse,2938,,1970,1099,431,,1853,2024,https://thebanks.eu/banks/12927
Sparekassen Kronjylland,6028,185,,,800,47,1829,2024,https://thebanks.eu/banks/12960
Arion banki,10646,100,,,626,13,2008,2024,https://thebanks.eu/banks/17744
Islandsbanki,10578,,6099,8520,733,12,,2024,https://thebanks.eu/banks/17743
Landsbankinn,14353,,8079,,826,35,,2024,https://www.landsbankinn.is/en/the-bank/investor-relations/news/financial-results-of-landsbankinn-for-2024
Caixa Ontinyent,,,,,178,45,1884,2024,https://www.eldiario.es/comunitat-valenciana/economia/caixa-ontinyent-presenta-beneficio-15-2-millones-euros-2024-incremento-13-respecto-2023_1_12122654.html
Caixa Pollença (Colonya),,,700,,120,24,1880,2024,https://thebanks.eu/banks/13215
Cecabank,3422,,,,625,,2012,2024,https://thebanks.eu/banks/13209
Argenta,53635,1750,,,1204,387,1956,2024,https://thebanks.eu/banks/10661
Crelan,55800,1700,44300,,4327,727,,2024,https://www.crelan.be/sites/default/files/documents/PR_12_03_2025_year-results.pdf
Fio banka,10785,900,9757,2042,167,80,,2023,https://thebanks.eu/banks/10922
MONETA Money Bank,20040,1000,17409,11150,2461,124,,2024,https://thebanks.eu/banks/10924
BCR (Banca Comerciala Romana),28716,,18311,13428,6136,318,1990,2024,https://thebanks.eu/banks/17499
BRD - Groupe Societe Generale,20536,2300,,,6600,388,1990,2024,https://thebanks.eu/banks/17504
Raiffeisen Bank Romania,19438,2200,,,4800,284,,2024,https://thebanks.eu/banks/17482
Raiffeisen Bank Albania,2390,465,,,1274,74,,2024,https://thebanks.eu/banks/19339
MagNet Bank,992,,,,150,14,1995,2024,https://thebanks.eu/banks/14801
Delavska hranilnica,2367,,,,352,35,1991,2024,https://thebanks.eu/banks/17686
Prima banka Slovensko,6632,,,,768,118,1993,2024,https://thebanks.eu/banks/17719
